AGE,SEX,SCHOLARSHIP TYPE,STUDY HOURS,READING REQUENCY (NON SCI),READING FREQUENCY (SCI),ATTENDANCE TO CLASS,PREPARATION TYPE EXAMS,PREPARATION TIME EXAMS,TAKING NOTES IN CLASS,LISTENING IN CLASS,DISCUSSION IMPROVES MY INTEREST AND SUCCESS TO THIS COURSE,CUMULATIVE GPA LAST SEMESTER,GRADE,,"1- Student Age (1: 18-21, 2: 22-25, 3: above 26)",1,Age,0: 18 - 20,0.5: 22 - 25,1: above 26,,,,,
0.5,1,0.5,0.5,0.5,0.5,0,0,0,1,0.5,0,0,0,,"2- Sex (1: female, 2: male)",2,sex,0 female,1 male,,,,,,
0.5,1,0.5,0.25,0.5,0.5,0,0,0,1,0.5,1,0.25,0,,"4- Scholarship type: (1: None, 2: 25%, 3: 50%, 4: 75%, 5: Full)",3,Scholarship,0: None,0.25: 25%,0.5: 50%,0.75: 75%,1: Full,,,
0.5,1,0.5,0.25,0,0.5,0,0,0,0.5,0.5,0,0.25,0,,"17- Weekly study hours: (1: None, 2: <5 hours, 3: 6-10 hours, 4: 11-20 hours, 5: more than 20 hours)",4,Weekly Study Hours,0: None,0.25: < 5 hours,0.5: 6 - 10 hours,0.75: 11 - 20 hours,1: more than 20 hours,,,
0,0,0.5,0.5,0,0.5,0,0,0.5,1,0.5,0.5,0.5,0,,"18- Reading frequency (non-scientific books/journals): (1: None, 2: Sometimes, 3: Often)",5,Non Sci,0 None,0.5 Sometimes,1 often,,,,,
0.5,1,0.5,0.25,0,0,0,0.5,0,0.5,0.5,0.5,0.25,0,,"19- Reading frequency (scientific books/journals): (1: None, 2: Sometimes, 3: Often)",6,Sci,0 None,0.5 Sometimes,1 often,,,,,
0.5,1,0.5,0,0,0.5,0,0,0,0,0.5,0,0.75,0.33,,"22- Attendance to classes (1: always, 2: sometimes, 3: never)",7,Attendance,0 Always,0.5 Sometimes,1 Never,,,,,
0,1,0.75,0.25,0.5,0.5,0.5,0,0,1,1,1,0.75,0.66,,"23- Preparation to midterm exams 1: (1: alone, 2: with friends, 3: not applicable)",8,PrepType,0 alone,0.5 friends,1 not applicable,,,,,
0,0,0.5,0,0.5,0.5,0,1,0,1,0.5,0.5,0,0.33,,"24- Preparation to midterm exams 2: (1: closest date to the exam, 2: regularly during the semester, 3: never)",9,PrepTime,0 closest,0.5 reguarly,1 never,,,,,
0.5,0,0.5,0,0.5,0.5,0,0,0,1,0.5,0.5,0.75,0.66,,"25- Taking notes in classes: (1: never, 2: sometimes, 3: always)",10,Notes,0 never,0.5 Sometimes,1 always,,,,,
0.5,0,0.5,0.25,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,,"26- Listening in classes: (1: never, 2: sometimes, 3: always)",11,listening,0 never,0.5 Sometimes,1 always,,,,,
0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0.33,,"27- Discussion improves my interest and success in the course: (1: never, 2: sometimes, 3: always)",12,Discussion,0 never,0.5 Sometimes,1 always,,,,,
0,0,0.75,0.5,1,1,0,1,0.5,1,0,1,0.75,0,,"29- Cumulative grade point average in the last semester (/4.00): (1: <2.00, 2: 2.00-2.49, 3: 2.50-2.99, 4: 3.00-3.49, 5: above 3.49)",13,Grades,0: <2,0.25: < 2 - 2.49,0.5: 2.5 - 2.99,0.75: 3 - 3.49,1: above 3.49 than 20 hours,,,
0,0,0.75,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.75,0,,"32- OUTPUT Grade (0: Fail, 1: DD, 2: DC, 3: CC, 4: CB, 5: BB, 6: BA, 7: AA)",,Output,0 FF,0.1429 DD,0.2857 DC,0.4286 CC,0.5714 CB,0.7143 BB,0.8571,1 AA
0.5,0,1,0,0.5,0,0.5,0,0,1,0.5,1,0.75,0,,,,,1,2,3,4,5,6,7,
1,1,0.75,0.25,0.5,0.5,0,0,0,0.5,1,0.5,0.75,0.33,,,,,0,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,0.5,0,0,1,0.5,0.5,0.25,0.33,,,,,0,0.33,,,0.66,,1,
0,0,1,0.25,0.5,0.5,0.5,0,0,1,0.5,1,0.75,0,,,,,bad,Good,,,VG,,AA,
0.5,1,0.5,0.25,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.25,0.33,,,,,,,,,,,,
0,0,0.75,1,1,0.5,0.5,0,0,1,0,1,0.5,0.33,,,,,,,,,,,,
0,1,0.5,0.75,0.5,0.5,0,0,0,1,0.5,0.5,0.25,0.33,,,,,,,,,,,,
0,1,1,0.75,0.5,0.5,0,0,0.5,1,0,0.5,0.75,0,,,,,,,,,,,,
0,1,1,0.5,0.5,0.5,0,0,0,1,0,1,0.5,0,,,,,,,,,,,,
0.5,1,0.5,0.5,1,1,0,0,0.5,1,0,0.5,0.5,0.33,,,,,,,,,,,,
1,1,0.25,0.5,0.5,1,0.5,0,0,1,0.5,1,0.5,0,,,,,,,,,,,,
0.5,1,0.5,0,0.5,0.5,0,0,0,0.5,0,1,0.75,0.33,,,,,,,,,,,,
0.5,1,0.5,0.25,0.5,0.5,0,0,0,0.5,0,1,0,0.33,,,,,,,,,,,,
0.5,1,0.5,0.25,1,0.5,0,0,0,1,1,1,0.25,0,,,,,,,,,,,,
0,1,0.5,0.5,0.5,0.5,0.5,0,0,1,0,0.5,0.25,0,,,,,,,,,,,,
1,1,0.5,0.25,0.5,0.5,0,0,0,1,0.5,1,1,0.33,,,,,,,,,,,,
